Kaupan merkitys ruuan jakelukanavana pienenee;0;2;0;2;1;1;0;0;1;3;4;0;2;0;-1
Ruokakulttuuri muuttuu perinteitä, läheisyyttä ja tunnettua alkuperää suosivaksi;1;0;0;3;1;2;2;1;3;2;0;1;3;0;0
Tuotekehitys synnyttää ympäristäystävällisiä erikoistuotteita;0;0;0;0;0;0;1;-1;1;0;0;1;1;1;0
Maakuntabrändätty ruoka yleistyy;0;0;0;0;1;2;1;0;3;1;0;1;3;0;0
Ruokaketju on läpinäkyvä, myös alkutuottajan osuus kuluttajahinnasta;0;1;1;2;0;1;1;0;4;1;0;0;2;1;0
Ruokamatkailu kasvaa ja monipuolistuu;1;1;0;1;1;0;1;1;2;2;0;0;3;0;0
Kumppanuus ruokajärjestelmässä lisääntyy;1;1;0;0;1;1;0;1;1;1;1;0;1;1;0
Itse tuotettu ruoka yleistyy kodeissa, kouluissa, ravintoloissa ja erilaisissa yhteisöissä;2;2;0;0;4;1;1;0;4;4;3;3;2;0;0
Kaikki ruoka on alkuperän suhteen jäljitettävää;0;2;0;1;3;1;1;-1;0;0;0;1;1;2;0
Alueellinen ruokaomavaraisuus lisääntyy;0;1;0;1;1;1;2;0;1;0;0;0;1;0;0
Kaupan valta ja ohjausvaikutus ruokaketjussa heikkenee;2;1;0;0;3;1;3;0;3;1;0;-2;0;0;0
Hinnan ohjausvaikutus ruokaketjussa heikkenee;2;1;3;1;1;0;2;1;1;1;3;0;2;0;0
Ruokatuotteisiin liittyvät tarinat yleistyvät;0;1;1;1;1;3;1;1;1;1;1;1;0;1;0
Uusi teknologia (esineiden internet, paikkatieto ym.) yleistyy ruokajärjestelmässä;2;1;3;1;1;2;1;2;2;2;3;1;1;0;1
Yhteiskunnan kaupungistuminen jatkuu;-2;0;2;1;0;2;1;1;0;-1;-2;-1;2;1;0

